Date,MSFT,GOOGL,NVDA,KLAC,AMD,XLV,IEF,WEIGHT_SUM
2026-01-02,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,1.000000
2026-01-09,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,1.000000
2026-01-16,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,1.000000
2026-01-23,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,1.000000
2026-01-30,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,1.000000
2026-02-06,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,1.000000
2026-02-13,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,1.000000
2026-02-20,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,1.000000
2026-02-27,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,1.000000
2026-03-06,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,1.000000
2026-03-13,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,1.000000
2026-03-20,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,1.000000
2026-03-27,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,1.000000
2026-04-10,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,1.000000
2026-04-17,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,1.000000
2026-04-24,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,1.000000
2026-05-01,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,1.000000
2026-05-08,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,1.000000
2026-05-15,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,1.000000
2026-05-22,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,1.000000
2026-05-29,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,1.000000
2026-06-05,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,1.000000
2026-06-12,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,1.000000
2026-06-26,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,1.000000
2026-07-10,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,1.000000
2026-07-17,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,1.000000
2026-07-24,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,1.000000
2026-07-31,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,1.000000
2026-08-07,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,1.000000
2026-08-14,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,1.000000
